O	  23.18600	    h	  31.54077	   0.03194	 382.99866	  -1.64258    b	  13.81540	   0.00001	 299.03635	  -3.00010    d	  16.65485	   0.00000	 296.74271	   2.99997
O	  23.69200	    h	  32.44439	   0.03451	 399.05865	  -1.87101    b	  13.90580	   0.00001	 306.06351	  -3.00010    d	  16.65818	   0.00000	 305.16531	   2.99997
O	  24.19800	    h	  31.95343	   0.17173	 415.31149	  -2.49996    d	  16.67015	   0.00000	 313.58804	   2.99997    b	  13.83083	   0.00001	 313.08890	  -3.00010
O	  24.70400	    h	  32.23751	   0.11500	 431.48752	  -2.64950    d	  16.66450	   0.00000	 322.01065	   2.99997    b	  13.95488	   0.00001	 320.11752	  -3.00010
O	  25.21000	    h	  31.62693	   0.15146	 447.37772	  -2.60249    d	  16.64854	   0.00000	 330.43350	   2.99997    b	  13.91682	   0.00001	 327.14761	  -3.00010
O	  25.71600	    h	  30.54423	   0.17984	 462.84317	  -3.42082    d	  16.61954	  -0.01540	 338.95038	   2.94886    b	  13.81586	   0.00001	 334.17435	  -3.00010
O	  26.22200	    h	  27.20477	   0.44924	 477.51672	  -4.39893    d	  16.66427	  -0.00195	 347.53793	   2.81914    b	  13.89816	  -0.00881	 341.06223	  -3.10693
O	  26.72800	    h	  25.29744	   0.45225	 491.24112	  -4.04431    d	  16.64697	   0.00495	 356.12012	   2.77332    b	  13.95444	   0.00617	 347.94757	  -3.24082
O	  27.23400	    h	  26.47203	   0.21149	 504.29074	  -3.57002    d	  16.62007	   0.00621	 364.70135	   2.76656    b	  13.87306	   0.01375	 354.82980	  -3.29832
O	  27.74000	    h	  24.51637	   0.39327	 517.09396	  -3.07328    d	  16.62549	   0.00622	 373.28186	   2.76747    b	  13.83276	   0.01589	 361.70703	  -3.30780
O	  28.24600	    h	  25.32397	   0.22937	 529.62445	  -2.32926    d	  16.62971	   0.00613	 381.86197	   2.76880    b	  13.96494	   0.01595	 368.58710	  -3.30312
